entr;LibE;sor;LibS;From;To;Entr;Sor;AutoE;AutoS
2;LA BARQUE;4;ST.MAXIMIN;aix;italie;25006002;25006004;A8;A8
2;LA BARQUE;5;BRIGNOLES;aix;italie;25006002;25006005;A8;A8
2;LA BARQUE;6;CANNET DES MAURES;aix;italie;25006002;25006006;A8;A57
2;LA BARQUE;7;LE MUY;aix;italie;25006002;25006007;A8;A8
2;LA BARQUE;8;PUGET ECHANGEUR;aix;italie;25006002;25006008;A8;A8
2;LA BARQUE;9;CAPITOU;aix;italie;25006002;25006009;A8;A8
2;LA BARQUE;49;FREJUS OUEST;aix;italie;25006002;25006049;A8;A8
2;LA BARQUE;36;PONT DE L ETOILE;aix;toulon;25006002;25006036;A8;A52
2;LA BARQUE;38;PAS DE TRETS;aix;toulon;25006002;25006038;A8;A52
2;LA BARQUE;42;PUGET VILLE;aix;toulon;25006002;25006042;A8;A57
3;POURRIERES;4;ST.MAXIMIN;aix;italie;25006003;25006004;A8;A8
3;POURRIERES;5;BRIGNOLES;aix;italie;25006003;25006005;A8;A8
3;POURRIERES;6;CANNET DES MAURES;aix;italie;25006003;25006006;A8;A57
3;POURRIERES;7;LE MUY;aix;italie;25006003;25006007;A8;A8
3;POURRIERES;8;PUGET ECHANGEUR;aix;italie;25006003;25006008;A8;A8
3;POURRIERES;9;CAPITOU;aix;italie;25006003;25006009;A8;A8
3;POURRIERES;42;PUGET VILLE;aix;toulon;25006003;25006042;A8;A57
3;POURRIERES;49;FREJUS OUEST;aix;italie;25006003;25006049;A8;A8
4;ST.MAXIMIN;2;LA BARQUE;italie;aix;25006004;25006002;A8;A8
4;ST.MAXIMIN;3;POURRIERES;aix;italie;25006004;25006003;A8;A8
4;ST.MAXIMIN;5;BRIGNOLES;aix;italie;25006004;25006005;A8;A8
4;ST.MAXIMIN;6;CANNET DES MAURES;aix;italie;25006004;25006006;A8;A57
4;ST.MAXIMIN;7;LE MUY;aix;italie;25006004;25006007;A8;A8
4;ST.MAXIMIN;8;PUGET ECHANGEUR;aix;italie;25006004;25006008;A8;A8
4;ST.MAXIMIN;9;CAPITOU;aix;italie;25006004;25006009;A8;A8
4;ST.MAXIMIN;36;PONT DE L ETOILE;italie;toulon;25006004;25006036;A8;A52
4;ST.MAXIMIN;38;PAS DE TRETS;italie;toulon;25006004;25006038;A8;A52
4;ST.MAXIMIN;42;PUGET VILLE;aix;toulon;25006004;25006042;A8;A57
4;ST.MAXIMIN;49;FREJUS OUEST;aix;italie;25006004;25006049;A8;A8
5;BRIGNOLES;2;LA BARQUE;italie;aix;25006005;25006002;A8;A8
5;BRIGNOLES;3;POURRIERES;italie;aix;25006005;25006003;A8;A8
5;BRIGNOLES;4;ST.MAXIMIN;italie;aix;25006005;25006004;A8;A8
5;BRIGNOLES;6;CANNET DES MAURES;aix;italie;25006005;25006006;A8;A57
5;BRIGNOLES;7;LE MUY;aix;italie;25006005;25006007;A8;A8
5;BRIGNOLES;8;PUGET ECHANGEUR;aix;italie;25006005;25006008;A8;A8
5;BRIGNOLES;9;CAPITOU;aix;italie;25006005;25006009;A8;A8
5;BRIGNOLES;36;PONT DE L ETOILE;italie;toulon;25006005;25006036;A8;A52
5;BRIGNOLES;38;PAS DE TRETS;italie;toulon;25006005;25006038;A8;A52
5;BRIGNOLES;42;PUGET VILLE;aix;toulon;25006005;25006042;A8;A57
5;BRIGNOLES;49;FREJUS OUEST;aix;italie;25006005;25006049;A8;A8
6;CANNET DES MAURES;2;LA BARQUE;italie;aix;25006006;25006002;A57;A8
